CustomerID,FirstName,MiddleName,LastName,AddressLine1,AddressLine2,City,StateProvinceName,CountryRegionName,PostalCode,PhoneNumber,BirthDate,Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,CreditAcceptance
11037,Chloe,M,Garcia,8915 Woodside Way,,Cliffside,British Columbia,Canada,V8Y 1L1,229-555-0112,11/27/1977,Partial High School,Clerical,F,S,0,2,0,0,48651,good
15127,Wesley,K,Yang,74 Jamie Way,,Lane Cove,New South Wales,Australia,1597,1 (11) 500 555-0188,2/14/1975,Bachelors ,Professional,M,S,0,2,0,0,129497,good
22710,Trisha,A,Zhao,Königsteiner Straße 449,,Frankfurt am Main,Hamburg,Germany,60082,1 (11) 500 555-0188,10/10/1974,Partial High School,Manual,F,M,0,2,0,0,11362,average
11361,Cindy,G,Ramos,6565 Jamie Way,,Newcastle,New South Wales,Australia,2300,1 (11) 500 555-0173,4/28/1977,High School,Manual,F,M,1,2,0,0,11376,average
22314,Brandy,,Patel,"701, boulevard du Montparnasse",,Orly,Val de Marne,France,94310,1 (11) 500 555-0188,11/15/1971,Partial High School,Manual,F,M,0,2,0,0,11442,average
29417,Kellie,B,Vazquez,Heideweg 6457,,München,Hamburg,Germany,80074,1 (11) 500 555-0183,3/2/1975,Partial High School,Manual,F,M,1,2,0,0,11483,average
11044,Adam,L,Flores,6935 Candle Dr,,Hervey Bay,Queensland,Australia,4655,1 (11) 500 555-0163,5/24/1949,Partial High School,Clerical,M,M,1,2,1,2,24007,bad
11045,Leonard,G,Nara,7466 La Vista Ave.,,Matraville,New South Wales,Australia,2036,1 (11) 500 555-0151,5/19/1950,High School,Skilled Manual,M,S,0,2,0,3,51472,good
11046,Christine,,Yuan,2356 Orange St,,Lavender Bay,New South Wales,Australia,2060,1 (11) 500 555-0113,3/22/1950,High School,Skilled Manual,F,M,1,2,0,3,50798,average
11047,Jaclyn,D,Lu,2812 Mazatlan,,Geelong,Victoria,Australia,3220,1 (11) 500 555-0137,2/27/1950,High School,Skilled Manual,F,M,0,2,0,3,42738,average
11049,Carol,C,Rai,6064 Madrid,,Chula Vista,California,United States,91910,654-555-0180,7/18/1980,Partial High School,Clerical,F,S,1,2,0,0,48422,good
11050,Alan,,Zheng,2741 Gainborough Dr.,,Hobart,Tasmania,Australia,7001,1 (11) 500 555-0135,9/7/1951,High School,Skilled Manual,M,M,1,2,0,3,58585,average
11051,Daniel,,Johnson,8085 Sunnyvale Avenue,,Caloundra,Queensland,Australia,4551,1 (11) 500 555-0155,8/4/1951,High School,Skilled Manual,M,S,0,2,0,3,45982,average
11052,Heidi,,Lopez,2514 Via Cordona,,Matraville,New South Wales,Australia,2036,1 (11) 500 555-0168,8/7/1951,Partial College,Clerical,F,S,0,2,0,2,50790,average
28747,Arthur,G,Gonzalez,8524 Parkside Dr.,,Berks,England,United Kingdom,SL4 1RH,1 (11) 500 555-0114,5/28/1971,Partial High School,Manual,M,M,0,2,0,0,11535,average
11054,Deanna,,Munoz,5825 B Way,,Geelong,Victoria,Australia,3220,1 (11) 500 555-0192,3/10/1952,Partial College,Skilled Manual,F,M,1,2,0,2,50018,average
11055,Gilbert,,Raje,8811 The Trees Dr.,,East Brisbane,Queensland,Australia,4169,1 (11) 500 555-0129,3/5/1952,Partial College,Skilled Manual,M,M,1,2,0,2,53459,average
11056,Michele,L,Nath,5464 Janin Pl.,,Newcastle,New South Wales,Australia,2300,1 (11) 500 555-0178,4/3/1953,Partial College,Skilled Manual,F,M,1,2,0,3,38588,bad
11057,Carl,J,Andersen,6930 Lake Nadine Place,,Lane Cove,New South Wales,Australia,1597,1 (11) 500 555-0181,10/12/1953,Graduate Degree,Management,M,M,1,2,0,2,119540,good
11058,Marc,,Diaz,6645 Sinaloa,,Findon,South Australia,Australia,5023,1 (11) 500 555-0149,4/27/1954,Partial College,Skilled Manual,M,M,1,2,0,2,119982,good
11059,Ashlee,J,Andersen,8255 Highland Road,,Townsville,Queensland,Australia,4810,1 (11) 500 555-0112,4/1/1954,Partial College,Skilled Manual,F,S,1,2,0,2,86953,good
11060,Jon,L,Zhou,6574 Hemlock Ave.,,Warrnambool,Victoria,Australia,3280,1 (11) 500 555-0174,3/17/1954,Partial College,Skilled Manual,M,M,1,2,0,2,116368,good
11061,Todd,M,Gao,8808 Geneva Ave,,Gold Coast,Queensland,Australia,4217,1 (11) 500 555-0191,2/27/1954,Partial College,Skilled Manual,M,M,1,2,0,2,110712,good
21122,Julie,,Xie,"5, avenue du Québec",,Villeneuve-d'Ascq,Nord,France,59491,1 (11) 500 555-0156,4/11/1974,Partial High School,Manual,F,M,1,2,0,0,11716,average
11063,Angela,,Murphy,4927 Virgil Street,# 21,Redmond,Washington,United States,98052,451-555-0162,4/7/1975,High School,Skilled Manual,F,S,1,2,0,0,49609,good
28513,Molly,E,Fernandez,Kulmer Straße 2242,,Frankfurt,Hessen,Germany,60323,1 (11) 500 555-0159,7/24/1970,Partial College,Manual,F,M,0,1,0,0,11803,average
12589,Ruben,,Rodriguez,3923 Dew Drop Circle,,Melbourne,Victoria,Australia,3000,1 (11) 500 555-0188,5/17/1977,Partial College,Manual,M,M,1,0,0,0,11927,average
24704,Allen,,Schmidt,Galeriestr 67,,Offenbach,Saarland,Germany,63009,1 (11) 500 555-0118,3/13/1972,Partial High School,Manual,M,M,1,2,0,0,12025,average
11067,Caleb,F,Carter,9563 Pennsylvania Blvd.,,Port Orchard,Washington,United States,98366,944-555-0167,9/25/1976,Partial College,Professional,M,S,1,2,0,0,96049,good
11070,Willie,T,Raji,6260 Vernal Drive,,Sunbury,Victoria,Australia,3429,1 (11) 500 555-0151,4/5/1955,High School,Skilled Manual,M,M,1,2,0,2,109883,good
11071,Linda,,Serrano,9808 Shaw Rd.,,Hawthorne,Queensland,Australia,4171,1 (11) 500 555-0130,6/26/1955,High School,Skilled Manual,F,S,1,2,0,2,106718,good
11072,Casey,,Luo,9513 Roslyn Drive,,St. Leonards,New South Wales,Australia,2065,1 (11) 500 555-0125,2/6/1955,High School,Skilled Manual,F,S,0,2,0,2,97646,good
11073,Amy,,Ye,2262 Kirkwood Ct.,,Springwood,New South Wales,Australia,2777,1 (11) 500 555-0185,8/14/1956,High School,Skilled Manual,F,S,1,2,0,2,58916,good
11074,Levi,A,Arun,4661 Bluetail,,Cloverdale,South Australia,Australia,6105,1 (11) 500 555-0127,8/28/1956,High School,Skilled Manual,M,S,1,2,0,2,93934,good
11075,Felicia,L,Jimenez,786 Eastgate Ave,,Bendigo,Victoria,Australia,3550,1 (11) 500 555-0165,11/16/1957,High School,Professional,F,S,1,2,0,2,99137,good
11076,Blake,,Anderson,5436 Clear,# 101,Wollongong,New South Wales,Australia,2500,1 (11) 500 555-0113,7/13/1957,High School,Professional,M,S,1,2,0,2,112044,good
11077,Leah,,Ye,1291 Arguello Blvd.,,Melton,Victoria,Australia,3337,1 (11) 500 555-0154,9/19/1957,High School,Professional,F,S,0,2,0,2,108728,good
11078,Gina,E,Martin,1349 Sol St.,,Cliffside,British Columbia,Canada,V8Y 1L1,196-555-0114,1/10/1974,High School,Professional,F,S,0,2,0,0,49084,good
11079,Donald,,Gonzalez,4236 Malibu Place,,Geelong,Victoria,Australia,3220,1 (11) 500 555-0137,3/11/1959,Graduate Degree,Management,M,S,1,2,0,0,172444,good
22401,Ian,J,Price,5979 Leisure Lane,,Rockhampton,Queensland,Australia,4700,1 (11) 500 555-0134,1/8/1980,Partial College,Manual,M,M,1,1,0,0,12219,average
11081,Savannah,C,Baker,1210 Trafalgar Circle,,Concord,California,United States,94519,478-555-0117,7/24/1966,Bachelors ,Management,F,M,1,3,2,2,148109,good
11082,Angela,L,Butler,6040 Listing Ct,,Fremont,California,United States,94536,579-555-0195,8/4/1966,Graduate Degree,Management,F,S,0,3,1,1,149717,good
11083,Alyssa,F,Cox,867 La Orinda Place,,Lincoln Acres,California,United States,91950,561-555-0140,3/15/1966,Graduate Degree,Management,F,M,1,3,1,1,163913,good
11085,Emily,,Johnson,7926 Stephanie Way,,Newport Beach,California,United States,92625,850-555-0184,7/19/1957,High School,Professional,F,S,0,2,0,2,66900,good
11086,Ryan,,Brown,2939 Wesley Ct.,,Santa Monica,California,United States,90401,539-555-0198,12/23/1957,Partial College,Professional,M,M,1,0,1,2,97834,good
11088,Hunter,,Davis,4308 Sand Pointe Lane,,San Diego,California,United States,92102,612-555-0141,11/25/1957,Bachelors ,Management,M,M,1,0,1,2,129910,good
11089,Abigail,M,Price,2685 Blackburn Ct,,Long Beach,California,United States,90802,532-555-0117,2/5/1957,Bachelors ,Management,F,S,1,1,1,2,91729,good
11090,Trevor,,Bryant,5781 Sharon Dr.,,Los Angeles,California,United States,90012,853-555-0174,12/17/1957,Partial College,Professional,M,S,1,1,0,2,113883,good
11091,Dalton,,Perez,6083 San Jose,,Haney,British Columbia,Canada,V2W 1W2,559-555-0115,4/4/1957,Partial College,Professional,M,M,1,1,0,2,112820,good
22533,Jake,,Liu,Residenz Straße 431,,Hamburg,Hamburg,Germany,20354,1 (11) 500 555-0155,2/3/1974,Partial High School,Manual,M,M,0,2,0,0,12250,average
11094,Cedric,W,Ma,3407 Oak Brook Place,,Cranbourne,Victoria,Australia,3977,1 (11) 500 555-0115,4/1/1962,Partial College,Skilled Manual,M,S,0,1,0,1,88887,good
11095,Chad,,Kumar,1681 Lighthouse Way,,Port Macquarie,New South Wales,Australia,2444,1 (11) 500 555-0151,9/1/1962,Partial College,Skilled Manual,M,S,1,1,0,1,108740,good
11096,Andrés,,Anand,5423 Los Gatos Ct.,,North Sydney,New South Wales,Australia,2055,1 (11) 500 555-0184,8/10/1962,Bachelors ,Professional,M,M,1,1,0,1,106971,good
11097,Edwin,R,Nara,719 William Way,,Warrnambool,Victoria,Australia,3280,1 (11) 500 555-0112,10/27/1961,Partial College,Skilled Manual,M,M,1,1,0,1,98519,good
11098,Mallory,S,Rubio,6452 Harris Circle,,Rhodes,New South Wales,Australia,2138,1 (11) 500 555-0157,5/1/1961,Partial College,Skilled Manual,F,S,0,1,0,1,82707,good
11099,Adam,,Ross,4378 Westminster Place,,Port Macquarie,New South Wales,Australia,2444,1 (11) 500 555-0186,3/8/1961,Bachelors ,Professional,M,M,1,1,0,1,103866,good
11100,Latasha,L,Navarro,6954 Ranch Road,,Cloverdale,South Australia,Australia,6105,1 (11) 500 555-0123,9/15/1960,Partial College,Skilled Manual,F,S,1,1,0,1,66520,good
11101,Abby,L,Sai,7074 N. Spoonwood Court,,Cranbourne,Victoria,Australia,3977,1 (11) 500 555-0174,5/8/1965,Bachelors ,Professional,F,S,0,1,0,0,75270,good
11102,Julia,L,Nelson,2196 Coat Ct.,,Sydney,New South Wales,Australia,1002,1 (11) 500 555-0124,4/21/1965,Bachelors ,Professional,F,S,1,4,5,5,95167,good
11103,Cassie,,Chande,9448 San Marino Ct.,,Darlinghurst,New South Wales,Australia,2010,1 (11) 500 555-0166,10/17/1964,Bachelors ,Professional,F,S,1,1,0,0,85087,good
27003,Roger,,Jai,Altendorfer Straße 395,,Bonn,Nordrhein-Westfalen,Germany,53131,1 (11) 500 555-0130,2/25/1971,Partial High School,Manual,M,M,1,2,0,0,12955,average
11105,Candace,,Fernandez,5029 Blue Ridge,,Matraville,New South Wales,Australia,2036,1 (11) 500 555-0162,12/28/1964,Bachelors ,Professional,F,S,0,1,0,0,88445,good
11106,Jessie,,Liu,3063 Blue Jay Drive,,Warrnambool,Victoria,Australia,3280,1 (11) 500 555-0163,9/11/1964,Bachelors ,Professional,M,S,0,1,0,0,97782,good
11107,Bianca,,Lin,7530 Eola,,St. Leonards,New South Wales,Australia,2065,1 (11) 500 555-0121,9/9/1959,Bachelors ,Professional,F,M,1,1,0,1,117317,good
11109,Ruben,D,Kapoor,1984 Glendale Circle,,South Melbourne,Victoria,Australia,3205,1 (11) 500 555-0132,11/5/1963,Bachelors ,Professional,M,S,0,2,0,0,106891,good
11110,Curtis,,Yang,4052 Mt. Wilson Way,,Darlinghurst,New South Wales,Australia,2010,1 (11) 500 555-0127,6/6/1962,Partial College,Skilled Manual,M,M,1,1,0,1,77012,good
11111,Meredith,T,Gutierrez,7610 Northridge Ct.,,Geelong,Victoria,Australia,3220,1 (11) 500 555-0179,2/23/1962,Partial College,Skilled Manual,F,M,1,1,0,1,62702,good
11112,Crystal,C,Wang,2773 Kirkwood Dr,,Hervey Bay,Queensland,Australia,4655,1 (11) 500 555-0134,9/9/1962,Partial College,Skilled Manual,F,M,1,1,0,1,73151,good
11113,Micheal,A,Blanco,596 Marfargoa Drive,,Perth,South Australia,Australia,6006,1 (11) 500 555-0131,2/21/1962,Bachelors ,Professional,M,M,1,2,4,5,104220,average
16475,Kurt,L,Anand,Heiderweg 4983,,Essen,Hamburg,Germany,45001,1 (11) 500 555-0115,12/13/1973,Partial High School,Manual,M,S,0,2,0,0,18709,good
11115,Alvin,D,Cai,7759 Azalea Avenue,,St. Leonards,New South Wales,Australia,2065,1 (11) 500 555-0191,2/12/1962,Partial College,Skilled Manual,M,M,1,2,4,5,93330,average
11116,Clinton,E,Carlson,7943 Cunha Ct.,,Sydney,New South Wales,Australia,1002,1 (11) 500 555-0184,10/7/1962,Partial College,Skilled Manual,M,M,1,2,4,5,86770,bad
11117,April,,Deng,485 Ash Lane,,Matraville,New South Wales,Australia,2036,1 (11) 500 555-0182,2/21/1961,Partial College,Skilled Manual,F,M,1,3,4,5,73276,bad
11119,Evan,V,James,4157 Sierra Ridge,,Port Macquarie,New South Wales,Australia,2444,1 (11) 500 555-0187,4/10/1935,Partial College,Clerical,M,S,0,2,0,2,51078,good
11120,Beth,H,Jiménez,7401 Las Palmas,,Sydney,New South Wales,Australia,1002,1 (11) 500 555-0164,8/9/1936,Bachelors ,Management,F,S,1,1,0,2,52280,good
11122,Byron,,Vazquez,3187 Hackamore Lane,,North Sydney,New South Wales,Australia,2055,1 (11) 500 555-0136,4/2/1960,Partial College,Skilled Manual,M,M,1,3,4,5,88615,bad
11123,Philip,A,Alvarez,2775 Mt. Olivet Pl.,,Sunbury,Victoria,Australia,3429,1 (11) 500 555-0191,6/20/1960,Partial College,Skilled Manual,M,M,1,3,4,5,102114,bad
11124,Ross,F,Jordan,6973 Dublin Court,,Warrnambool,Victoria,Australia,3280,1 (11) 500 555-0126,7/27/1957,Partial College,Skilled Manual,M,S,1,1,0,1,106875,good
11125,Dana,J,Navarro,8481 Zartop Street,,Seaford,Victoria,Australia,3198,1 (11) 500 555-0172,4/8/1956,Partial College,Skilled Manual,F,S,1,1,0,1,65730,good
11126,Shaun,,Carson,57 Wolf Way,,North Ryde,New South Wales,Australia,2113,1 (11) 500 555-0155,4/7/1949,High School,Skilled Manual,M,M,0,2,1,2,32857,good
24161,Luke,,Kumar,4882 Darlene Drive,,Goulburn,New South Wales,Australia,2580,1 (11) 500 555-0117,2/4/1980,Partial College,Manual,M,M,1,1,0,0,12966,average
11129,Julia,M,Wright,7397 Central Blvd.,,Sedro Woolley,Washington,United States,98284,456-555-0174,8/5/1975,High School,Skilled Manual,F,S,1,1,0,0,32122,good
14970,Bruce,H,Chandra,8446 Whyte Park Ave,,Maidenhead,England,United Kingdom,SL67RJ,1 (11) 500 555-0119,3/2/1977,High School,Manual,M,M,0,1,0,0,13194,average
19186,Bob,,Garcia,1336 Terrace Road,,London,England,United Kingdom,W1Y 3RA,1 (11) 500 555-0116,2/15/1971,Partial High School,Manual,M,M,0,2,0,0,13339,average
11132,Melissa,E,Richardson,6832 Fruitwood Dr,,Langford,British Columbia,Canada,V9,928-555-0118,10/26/1980,High School,Skilled Manual,F,S,0,2,0,0,44139,good
11133,Angela,,Griffin,3828 Baltic Sea Ct,,Lake Oswego,Oregon,United States,97034,598-555-0174,9/8/1980,Partial High School,Clerical,F,S,0,2,0,0,37010,good
11134,Larry,D,Townsend,7034 Carson,,Perth,South Australia,Australia,6006,1 (11) 500 555-0130,2/26/1946,High School,Skilled Manual,M,S,1,2,0,5,26209,good
11135,Marcus,L,Harris,9068 Quiet Place Drive,,Burlingame,California,United States,94010,442-555-0119,11/3/1979,Partial High School,Clerical,M,S,0,2,0,0,64613,good
11136,Brianna,D,Morgan,9005 Eagle Ct.,,Metchosin,British Columbia,Canada,V9,954-555-0117,10/26/1978,High School,Skilled Manual,F,S,0,2,0,0,38527,good
15632,Gloria,P,Carlson,5256 Chickpea Ct.,,London,England,United Kingdom,E17 6JF,1 (11) 500 555-0114,1/9/1971,Partial High School,Manual,F,M,0,2,0,0,13431,average
29460,Andres,E,Chander,6030 Double Court,,South Melbourne,Victoria,Australia,3205,1 (11) 500 555-0133,3/15/1977,High School,Manual,M,M,0,2,0,0,13526,average
11139,Tanya,,Moreno,6155 Wilbur Drive,,Cloverdale,South Australia,Australia,6105,1 (11) 500 555-0185,11/9/1938,Partial College,Clerical,F,S,0,2,0,2,27610,bad
11140,Javier,L,Alvarez,8935 Etcheverry Dr.,,Burbank,California,United States,91502,763-555-0134,2/11/1977,Partial High School,Clerical,M,S,0,2,0,0,64633,good
23772,Cory,,Raman,Postfach 55 44 99,,Berlin,Nordrhein-Westfalen,Germany,10501,1 (11) 500 555-0199,1/6/1971,Partial High School,Manual,M,M,0,2,0,0,13773,average
11142,Eduardo,,Patterson,6255 Macalvey Dr.,,Langford,British Columbia,Canada,V9,190-555-0184,8/14/1977,High School,Skilled Manual,M,S,0,2,0,0,63488,good
22699,Clarence,A,Chande,Wolfgangstraße 72,,Paderborn,Nordrhein-Westfalen,Germany,33098,1 (11) 500 555-0160,8/25/1975,Partial High School,Manual,M,M,1,2,0,0,13775,average
15031,Darryl,J,Lin,6912 Hamilton Avenue,,Malabar,New South Wales,Australia,2036,1 (11) 500 555-0146,2/27/1977,High School,Manual,M,M,1,1,0,0,13995,average
25707,Louis,M,Raje,4915 Pear Dr.,,Findon,South Australia,Australia,5023,1 (11) 500 555-0169,11/23/1978,Partial College,Manual,M,M,1,1,0,0,14270,average
23957,Louis,,Zheng,Zeiter Weg 9922,,Leipzig,Nordrhein-Westfalen,Germany,4139,1 (11) 500 555-0128,6/7/1974,Partial High School,Manual,M,M,1,2,0,0,14553,average
27176,Erik,,Martin,Winterfeldtstr 4446,,Stuttgart,Saarland,Germany,70452,1 (11) 500 555-0149,3/21/1971,Partial High School,Manual,M,M,0,2,0,0,14598,average
26881,Regina,R,Fernandez,"7348, avenue de l´Europe",,Drancy,Seine Saint Denis,France,93700,1 (11) 500 555-0181,2/11/1975,Partial High School,Manual,F,M,1,2,0,0,14853,average
28448,Katherine,P,Campbell,5057 Fillet Ave.,,Gateshead,England,United Kingdom,GA10,1 (11) 500 555-0180,5/11/1973,Partial High School,Manual,F,M,1,2,0,0,14860,average
20941,Arturo,K,Guo,"81, avenue des Laurentides",,Saint Germain en Laye,Yveline,France,78100,1 (11) 500 555-0156,7/9/1975,Partial High School,Manual,M,M,1,2,0,0,14952,average
17758,Linda,,Gill,Auf Der Steige 100,,Dresden,Hessen,Germany,1071,1 (11) 500 555-0111,6/23/1970,Partial College,Manual,F,M,0,1,0,0,15026,average
28413,Dalton,M,Martinez,7025 Eastgate Avenue,,Gateshead,England,United Kingdom,GA10,1 (11) 500 555-0177,3/12/1976,Partial High School,Manual,M,M,1,2,0,0,15283,average
12571,Jennifer,,Green,4070 Lacorso Drive,,Coffs Harbour,New South Wales,Australia,2450,1 (11) 500 555-0139,5/19/1980,Partial College,Manual,F,M,0,1,0,0,15331,average
17733,Alberto,P,Gill,2753 Galloway Dr.,,Malabar,New South Wales,Australia,2036,1 (11) 500 555-0140,8/27/1979,Bachelors ,Clerical,M,M,1,0,0,0,15502,average
22572,Karen,,Cai,748 Whitehall Drive,,Wollongong,New South Wales,Australia,2500,1 (11) 500 555-0114,11/3/1980,Partial College,Manual,F,M,1,1,0,0,15577,average
27860,Hector,,Martin,7640 First Ave.,,Lane Cove,New South Wales,Australia,1597,1 (11) 500 555-0115,6/21/1980,Partial College,Manual,M,M,1,1,0,0,15599,average
17905,Calvin,,Yuan,8577 La Vista Avenue,,North Ryde,New South Wales,Australia,2113,1 (11) 500 555-0151,7/20/1980,Partial College,Manual,M,M,1,1,0,0,15619,average
26216,Ebony,K,Subram,2529 Clear Court,,London,England,United Kingdom,C2H 7AU,1 (11) 500 555-0192,8/21/1972,Partial High School,Manual,F,M,1,2,0,0,15777,average
23956,Morgan,,Coleman,Erlenweg 2,,Ingolstadt,Bayern,Germany,85049,1 (11) 500 555-0196,2/27/1975,Partial High School,Manual,F,M,0,1,0,0,15818,average
24131,Felicia,S,Rubio,"26, place de la Concorde",,Orly,Val de Marne,France,94310,1 (11) 500 555-0120,6/1/1974,Partial High School,Manual,F,M,0,2,0,0,16076,average
17724,Sheila,I,Blanco,5010 C Mt. Hood Circle,,Port Macquarie,New South Wales,Australia,2444,1 (11) 500 555-0168,4/21/1980,Partial College,Manual,F,M,1,1,0,0,16130,average
21674,Jada,S,Morris,Holzstr 1333,,Bottrop,Nordrhein-Westfalen,Germany,46236,1 (11) 500 555-0122,3/21/1971,Partial High School,Manual,F,M,0,2,0,0,16159,average
19513,Jessie,,Liang,6913 Island Drive,,London,England,United Kingdom,SW8 1XD,1 (11) 500 555-0185,6/6/1974,Partial High School,Manual,M,M,1,2,0,0,16217,average
18040,Curtis,L,Liu,"19, rue de Terre Neuve",,Suresnes,Hauts de Seine,France,92150,1 (11) 500 555-0171,11/7/1973,Partial High School,Manual,M,M,0,2,0,0,16225,average
22403,Cedric,L,Beck,7350 Pine,,Lane Cove,New South Wales,Australia,1597,1 (11) 500 555-0131,2/21/1979,Partial College,Manual,M,M,1,1,0,0,16239,average
27871,Faith,,Cook,6980 Tanager Circle,,Townsville,Queensland,Australia,4810,1 (11) 500 555-0159,3/14/1979,High School,Manual,F,M,0,0,1,1,10326,bad
